Film,OscarYear,FilmStudio/Producer(s),Award,AwardBinary,YearofRelease,MovieTime,MovieGenre1,MovieGenre2,MovieGenre3,IMDBRating,IMDBVotes,MovieInfo,CriticConsensus,ContentRating,Directors,Authors,Actors,Actors2,Actors3,OriginalReleaseDate,StreamingReleaseDate,ProductionCompany,TomatometerStatus,TomatometerRating,TomatometerCount,AudienceStatus,AudienceRating,AudienceCount,TomatometerTopCriticsCount,TomatometerFreshCriticsCount,TomatometerRottenCriticsCount,FilmID
Airport,1970,Ross Hunter,Nominee,0,1970,137,Action,Drama,Thriller,6.6,18289,"In this large-ensemble disaster movie, Mel Bakersfeld (Burt Lancaster), the general manager of a Chicago-area airport, must contend with a massive snowstorm and other issues, both work-related and personal, while the troubled D.O. Guerrero (Van Heflin) threatens to blow up an airliner. As pilot Vernon Demerest (Dean Martin) attempts to calm Guerrero down and dissuade him from setting off explosives on the plane, tensions increase in the air and on the ground, and danger is imminent.",,G,George Seaton,George Seaton,Burt Lancaster, Dean Martin, Jean Seberg,25632,41913,Universal Pictures,Fresh,73,15,Spilled,53,11263,1,11,4,5bbfb550-a96e-49a4-90fc-a8351617e709
Love Story,1970,Howard G. Minsky,Nominee,0,1970,100,Drama,Romance,NG,6.9,32681,"When wealthy Harvard University law student Oliver Barrett IV (Ryan O'Neal) meets Jenny Cavilleri (Ali MacGraw), a middle-class girl who is studying music at Radcliffe College, it's love at first sight. Despite the protests of Oliver's father (Ray Milland), the young couple marry. Oliver finds a job at a legal firm in New York City, but their happy life comes crashing down when it's discovered that Jenny has a terminal illness. Together, they try to cope with the situation as best they can.","Earnest and determined to make audiences swoon, Love Story is an unabashed tearjerker that will capture hearts when it isn't inducing eye rolls.",PG,Arthur Hiller,Erich Segal,Ali MacGraw, Ryan O'Neal, John Marley,25918,41796,Paramount Pictures,Fresh,68,25,Upright,75,35290,5,17,8,0a7e8fe6-3614-4599-bdf3-1bc14f161ffa
Patton,1970,Frank McCarthy,Winner,1,1970,172,Biography,Drama,War,7.9,98155,"Biography of controversial World War II hero General George S. Patton. The film covers his wartime activities and accomplishments, beginning with his entry into the North African campaign and ending with his removal from command after his outspoken criticism of US post-war military strategy.","George C. Scott's sympathetic, unflinching portrayal of the titular general in this sprawling epic is as definitive as any performance in the history of American biopics.",PG,Franklin J. Schaffner,"Francis Ford Coppola, Edmund H. North",George C. Scott, Karl Malden, Michael Bates,25660,42333,20th Century Fox,Certified-Fresh,94,49,Upright,93,43309,10,46,3,542831fe-9ee4-4997-badb-98cabd43c3d2
Five Easy Pieces,1970,Bob Rafelson and Richard Wechsler,Nominee,0,1970,98,Drama,NG,NG,7.5,35199,"Rejecting his cultured upper-class background as a classical pianist, Robert Dupea (Jack Nicholson) opts for a blue-collar existence, working in a California oil field and spending time with his waitress girlfriend, Rayette (Karen Black). But when Robert discovers that his father is gravely ill, he wants to reunite with his estranged family in the state of Washington. He and Rayette take a road trip that brings the two paths of his life to an uncomfortable intersection.","An important touchstone of the New Hollywood era, Five Easy Pieces is a haunting portrait of alienation that features one of Jack Nicholson's greatest performances.",R,Bob Rafelson,"Adrien Joyce, Carole Eastman, Bob Rafelson",Jack Nicholson, Karen Black, Peter Fonda,25823,41015,Columbia Pictures,Certified-Fresh,88,50,Upright,84,13154,15,44,6,0d283411-d75d-413e-b31c-ece555cf661f
M*A*S*H,1970,Ingo Preminger,Nominee,0,1970,116,Comedy,Drama,War,7.5,69897,"Based on the novel by Richard Hooker, ""M*A*S*H"" follows a group of Mobile Army Surgical Hospital officers at they perform surgery and pass the time just miles from the front lines of the Korean Conflict. Led by Captains Hawkeye Pierce (Donald Sutherland) and Trapper John McIntyre (Elliott Gould), they add to the chaos and hilarity of the situation.","Bold, timely, subversive, and above all funny, M*A*S*H remains a high point in Robert Altman's distinguished filmography.",PG,Robert Altman,Ring Lardner Jr.,Donald Sutherland, Elliott Gould, Sally Kellerman,25933,42592,20th Century Fox,Certified-Fresh,87,53,Upright,83,53152,10,46,7,f65882a5-46f8-42f7-9302-bfc76fd0989d
Nicholas and Alexandra,1971,Sam Spiegel,Nominee,0,1971,183,Biography,Drama,History,7.2,4671,"When Tsar Nicholas weds the German princess Alexandra, the marriage proves unpopular with the Russian people, a situation not improved when she has four daughters. When she finally bears a son, the infant's acute hemophilia can only be controlled by the powers of the fanatical monk Rasputin.",,PG,Franklin J. Schaffner,"James Goldman, Edward Bond",Michael Jayston, Janet Suzman, Tom Baker,26280,41641,Sony Pictures Home Entertainment,Fresh,67,15,Upright,78,1674,6,10,5,85261a3e-21e0-4862-9850-5cef43307bc0
Fiddler on the Roof,1971,Norman Jewison,Nominee,0,1971,181,Drama,Family,Musical,8,41233,"A lavishly produced and critically acclaimed screen adaptation of the international stage sensation tells the life-affirming story of Tevye (Topol), a poor milkman whose love, pride and faith help him face the oppression of turn-of-the century czarist Russia.","A bird may love a fish -- and musical fans will love this adaptation of Fiddler on the Roof, even if it isn't quite as transcendent as the long-running stage version.",G,Norman Jewison,Joseph Stein,Topol, Norma Crane, Leonard Frey,26240,42704,United Artists,Certified-Fresh,83,41,Upright,92,52560,9,34,7,adaf460e-b6f6-4acf-9419-b396d719a400
The Last Picture Show,1971,Stephen J. Friedman,Nominee,0,1971,118,Drama,Romance,NG,8,44843,"High school seniors and best friends, Sonny (Timothy Bottoms) and Duane (Jeff Bridges), live in a dying Texas town. The handsome Duane is dating local beauty, Jacy (Cybill Shepherd), while Sonny is having an affair with the coach's wife, Ruth (Cloris Leachman). As graduation nears, both boys contemplate their futures. While Duane eyes the army and Sonny takes over a local business, each boy struggles to figure out if he can escape this dead-end town and build a better life somewhere else.","Making excellent use of its period and setting, Peter Bogdanovich's small town coming-of-age story is a sad but moving classic filled with impressive performances.",R,Peter Bogdanovich,"Peter Bogdanovich, Larry McMurtry",Timothy Bottoms, Jeff Bridges, Cloris Leachman,26228,41782,Columbia Pictures,Certified-Fresh,100,57,Upright,90,14148,15,57,0,c4c3d7c5-c66c-4148-b205-812f47fc9c4f
The French Connection,1971,Philip D'Antoni,Winner,1,1971,104,Action,Crime,Drama,7.7,115341,"New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler.","Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production.",R,William Friedkin,Ernest Tidyman,Gene Hackman, Fernando Rey, Roy Scheider,26215,42333,20th Century Fox,Certified-Fresh,98,60,Upright,87,44341,12,59,1,02e62c41-fdb4-401f-a2a5-615fec952f9e
A Clockwork Orange,1971,Stanley Kubrick,Nominee,0,1971,136,Crime,Drama,Sci-Fi,8.3,783346,"In an England of the future, Alex (Malcolm McDowell) and his ""Droogs"" spend their nights getting high at the Korova Milkbar before embarking on ""a little of the old ultraviolence,"" while jauntily warbling ""Singin' in the Rain."" After he's jailed for bludgeoning the Cat Lady to death, Alex submits to behavior modification technique to earn his freedom; he's conditioned to abhor violence. Returned to the world defenseless, Alex becomes the victim of his prior victims.","Disturbing and thought-provoking, A Clockwork Orange is a cold, dystopian nightmare with a very dark sense of humor.",R,Stanley Kubrick,Stanley Kubrick,Malcolm McDowell, Patrick Magee, Adrienne Corri,26286,39675,Warner Bros. Pictures,Certified-Fresh,88,64,Upright,93,436890,14,56,8,b19db2e9-f854-4631-99b6-9c4ab7d08077
The Emigrants,1972,Bengt Forslund,Nominee,0,1971,151,Drama,History,NG,8,6121,,,PG,Jan Troell,,Max von Sydow, Liv Ullmann, Eddie Axberg,,,Warner Bros. Pictures,,93,14,,87,14,4,13,1,ec2ca519-2209-40f8-b5e0-d1776bf1b140
Sounder,1972,Robert B. Radnitz,Nominee,0,1972,105,Drama,Family,NG,7.6,3920,,,G,Robert B. Radnitz,,Cicely Tyson, Paul Winfield, Kevin Hooks,,,20th Century Fox,,90,21,,77,1000,6,19,2,6e7ed550-a733-4030-a8e4-2aaf59a245dd
Cabaret,1972,Cy Feuer,Nominee,0,1972,124,Drama,Music,Musical,7.8,51698,"In Berlin in 1931, American cabaret singer Sally Bowles (Liza Minnelli) meets British academic Brian Roberts (Michael York), who is finishing his university studies. Despite Brian's confusion over his sexuality, the pair become lovers, but the arrival of the wealthy and decadent playboy Maximilian von Heune (Helmut Griem) complicates matters for them both. This love triangle plays out against the rise of the Nazi party and the collapse of the Weimar Republic.","Great performances and evocative musical numbers help Cabaret secure its status as a stylish, socially conscious classic.",PG,Bob Fosse,"Jay Presson Allen, Hugh Wheeler",Liza Minnelli, Joel Grey, Michael York,26342,39448,20th Century Fox,Certified-Fresh,93,43,Upright,87,36098,8,40,3,e353fab3-80df-4ebd-afcd-93f70b158537
Deliverance,1972,John Boorman,Nominee,0,1972,109,Adventure,Drama,Thriller,7.7,102934,"Four city-dwelling friends (Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox) decide to get away from their jobs, wives and kids for a week of canoeing in rural Georgia. When the men arrive, they are not welcomed by the backwoods locals, who stalk the vacationers and savagely attack them in the woods. Reeling from the ambush, the friends attempt to return home but are surrounded by dangerous rapids and pursued by a madman. Soon, their canoe trip turns into a fight for survival.","Given primal verve by John Boorman's unflinching direction and Burt Reynolds' star-making performance, Deliverance is a terrifying adventure.",R,John Boorman,"James Dickey, Dale Dye",Burt Reynolds, Jon Voight, James Dickey,26501,40787,Warner Bros. Pictures,Certified-Fresh,89,63,Upright,82,49424,6,56,7,5ab0fdff-d86a-4320-822c-33d1184f43e6
The Godfather,1972,Albert S. Ruddy,Winner,1,1972,175,Crime,Drama,NG,9.2,1697396,"Widely regarded as one of the greatest films of all time, this mob drama, based on Mario Puzo's novel of the same name, focuses on the powerful Italian-American crime family of Don Vito Corleone (Marlon Brando). When the don's youngest son, Michael (Al Pacino), reluctantly joins the Mafia, he becomes involved in the inevitable cycle of violence and betrayal. Although Michael tries to maintain a normal relationship with his wife, Kay (Diane Keaton), he is drawn deeper into the family business.","One of Hollywood's greatest critical and commercial successes, The Godfather gets everything right; not only did the movie transcend expectations, it established new benchmarks for American cinema.",R,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo",Marlon Brando, Al Pacino, James Caan,26382,41487,Paramount Pictures,Certified-Fresh,98,99,Upright,98,733939,24,97,2,fa8d4d3c-41e1-488f-a30d-715a0ff09764
A Touch of Class,1973,Melvin Frank,Nominee,0,1973,106,Comedy,Romance,NG,6.5,2991,"An affair between a married American insurance executive and a British divorcee does not run entirely smoothly. His back problems rather cramp his style, yet they continue with the relationship and rent a flat for their liaisons. However, he finds that combining parenthood, marriage and career with an affair can takes its toll.",,PG,Melvin Frank,"Jack Rose, Melvin Frank",Glenda Jackson, George Segal, Paul Sorvino,26835,41975,Media Home Entertainment,Fresh,83,12,Upright,64,2032,1,10,2,db331a83-f319-4566-99a6-3c1d77937cf9
Cries and Whispers,1973,Ingmar Bergman,Nominee,0,1972,91,Drama,NG,NG,8.1,32122,"As Agnes (Harriet Andersson) slowly dies of cancer, her sisters are so deeply immersed in their own psychic pains that they can't offer her the support she needs. Maria (Liv Ullmann) is wracked with guilt at her husband's suicide, caused by his discovery of her extramarital affair. The self-loathing, suicidal Karin (Ingrid Thulin) seems to regard her sister with revulsion. Only Anna (Kari Sylwan), the deeply religious maid who lost her young child, seems able to offer Agnes solace and empathy.","Visually stunning and achingly performed, Ingmar Bergman's chamber piece is a visceral rumination on death and sisterhood.",R,Ingmar Bergman,Ingmar Bergman,Liv Ullmann, Ingrid Thulin, Harriet Andersson,26654,42692,Criterion Collection,Fresh,90,30,Upright,91,9251,6,27,3,1f294125-03d2-4cca-b9b0-b767bdb0b816
American Graffiti,1973,Francis Ford Coppola and Gary Kurtz,Nominee,0,1973,110,Comedy,Drama,NG,7.4,85117,"On the last day of summer vacation in 1962, friends Curt (Richard Dreyfuss), Steve (Ronny Howard), Terry (Charles Martin Smith) and John (Paul Le Mat) cruise the streets of small-town California while a mysterious disc jockey (Wolfman Jack) spins classic rock'n'roll tunes. It's the last night before their grown-up lives begin, and Steve's high-school sweetheart, a hot-to-trot blonde, a bratty adolescent and a disappearing angel in a Thunderbird provide all the excitement they can handle.","One of the most influential of all teen films, American Graffiti is a funny, nostalgic, and bittersweet look at a group of recent high school grads' last days of innocence.",PG,George Lucas,"George Lucas, Gloria Katz, Willard Huyck",Richard Dreyfuss, Ron Howard, Paul Le Mat,26877,42229,Universal Pictures,Certified-Fresh,96,52,Upright,84,64618,7,50,2,a2b35269-b14a-4126-a4bc-0530348b2457
The Sting,1973,"Tony Bill, Michael Phillips, and Julia Phillips",Winner,1,1973,129,Comedy,Crime,Drama,8.3,249856,"Following the murder of a mutual friend, aspiring con man Johnny Hooker (Robert Redford) teams up with old pro Henry Gondorff (Paul Newman) to take revenge on the ruthless crime boss responsible, Doyle Lonnegan (Robert Shaw). Hooker and Gondorff set about implementing an elaborate scheme, one so crafty that Lonnegan won't even know he's been swindled. As their big con unfolds, however, things don't go according to plan, requiring some last-minute improvisation by the undaunted duo.","Paul Newman, Robert Redford, and director George Roy Hill prove that charm, humor, and a few slick twists can add up to a great film.",PG,George Roy Hill,"David S. Ward, Marvin Hamlisch",Paul Newman, Robert Redford, Robert Shaw,26999,42132,Universal Pictures,Certified-Fresh,94,63,Upright,95,61731,10,59,4,bb6ef738-b9e4-49a2-b8fb-ab2429add488
The Exorcist,1973,William Peter Blatty,Nominee,0,1973,122,Horror,NG,NG,8,375156,"One of the most profitable horror movies ever made, this tale of an exorcism is based loosely on actual events. When young Regan (Linda Blair) starts acting odd -- levitating, speaking in tongues -- her worried mother (Ellen Burstyn) seeks medical help, only to hit a dead end. A local priest (Jason Miller), however, thinks the girl may be seized by the devil. The priest makes a request to perform an exorcism, and the church sends in an expert (Max von Sydow) to help with the difficult job.","The Exorcist rides its supernatural theme to magical effect, with remarkable special effects and an eerie atmosphere, resulting in one of the scariest films of all time.",R,William Friedkin,William Peter Blatty,Linda Blair, Jason Miller, Max von Sydow,27024,41844,Warner Bros. Pictures,Certified-Fresh,83,81,Upright,87,420304,19,67,14,0cb63313-b7e2-49db-8bf9-17e72d61183e
Lenny,1974,Marvin Worth,Nominee,0,1974,111,Biography,Drama,NG,7.6,15444,"Controversial comedian Lenny Bruce (Dustin Hoffman) begins his career telling bad jokes to bored audiences in the 1950s, but can't repress his desire to unleash edgier material. When he does, he begins a one-man campaign to break down social hypocrisy, and his groundbreaking stage act propels him to cult-hero status. When authorities ban Lenny's act for obscenity, he begins a downward spiral of drugs, sex and debt, aided by his bombshell wife, a stripper named Honey (Valerie Perrine).",Dustin Hoffman inhabits Lenny Bruce with nervy energy in Bob Fosse's richly stylized telling of the pioneering comedian's career and downfall.,R,Bob Fosse,Julian Barry,Dustin Hoffman, Valerie Perrine, Jan Miner,27030,42740,20th Century Fox,Fresh,88,25,Upright,88,6547,1,22,3,4a3d4e06-2109-4585-a4c1-53f25ae82ea3
The Towering Inferno,1974,Irwin Allen,Nominee,0,1974,165,Action,Drama,Thriller,7,41582,"Classic 1970s disaster movie about a fire that breaks out in a state-of-the-art San Francisco high-rise building during the opening ceremony attended by a host of A-list guests. An overworked fire chief and the building's architect must cooperate in the struggle to save lives and subdue panic while a corrupt, cost-cutting contractor tries to evade responsibility for the disaster.","Although it is not consistently engaging enough to fully justify its towering runtime, The Towering Inferno is a blustery spectacle that executes its disaster premise with flair.",PG,John Guillermin,"Sterling Silliphant, Stirling Silliphant",Steve McQueen, Paul Newman, William Holden,27380,42333,20th Century Fox,Fresh,69,32,Upright,72,28338,7,22,10,7fb8aa38-464b-4846-85e0-e7e6cb0caaf8
The Conversation,1974,Francis Ford Coppola,Nominee,0,1974,113,Drama,Mystery,Thriller,7.8,105312,"Surveillance expert Harry Caul (Gene Hackman) is hired by a mysterious client's brusque aide (Harrison Ford) to tail a young couple, Mark (Frederic Forrest) and Ann (Cindy Williams). Tracking the pair through San Francisco's Union Square, Caul and his associate Stan (John Cazale) manage to record a cryptic conversation between them. Tormented by memories of a previous case that ended badly, Caul becomes obsessed with the resulting tape, trying to determine if the couple are in danger.","This tense, paranoid thriller presents Francis Ford Coppola at his finest -- and makes some remarkably advanced arguments about technology's role in society that still resonate today.",PG,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman, John Cazale, Allen Garfield,27126,40817,Paramount Pictures,Certified-Fresh,96,55,Upright,90,35156,8,53,2,51f09950-d054-4bed-b422-cde53c0ad5d3
Chinatown,1974,Robert Evans,Nominee,0,1974,130,Drama,Mystery,Thriller,8.2,308349,"When Los Angeles private eye J.J. ""Jake"" Gittes (Jack Nicholson) is hired by Evelyn Mulwray to investigate her husband's activities, he believes it's a routine infidelity case. Jake's investigation soon becomes anything but routine when he meets the real Mrs. Mulwray (Faye Dunaway) and realizes he was hired by an imposter. Mr. Mulwray's sudden death sets Gittes on a tangled trail of corruption, deceit and sinister family secrets as Evelyn's father (John Huston) becomes a suspect in the case.","As bruised and cynical as the decade that produced it, this noir classic benefits from Robert Towne's brilliant screenplay, director Roman Polanski's steady hand, and wonderful performances from Jack Nicholson and Faye Dunaway.",R,Roman Polanski,Robert Towne,Jack Nicholson, Faye Dunaway, John Huston,27030,41487,Paramount Pictures,Certified-Fresh,99,75,Upright,93,77911,15,74,1,fc910341-bca7-4172-abff-116ca3e6d80e
The Godfather Part II,1974,"Francis Ford Coppola, Gray Frederickson, and Fred Roos",Winner,1,1974,202,Crime,Drama,NG,9,1178981,,,R,Francis Ford Coppola,,Al Pacino, Robert Duvall, Diane Keaton,,,Paramount Pictures,,96,121,,97,2500000,39,116,5,a29ebc75-3d9a-441f-966c-7b53a3478a71
Dog Day Afternoon,1975,Martin Bregman and Martin Elfand,Nominee,0,1975,125,Biography,Crime,Drama,8,245162,"When inexperienced criminal Sonny Wortzik (Al Pacino) leads a bank robbery in Brooklyn, things quickly go wrong, and a hostage situation develops. As Sonny and his accomplice, Sal Naturile (John Cazale), try desperately to remain in control, a media circus develops and the FBI arrives, creating even more tension. Gradually, Sonny's surprising motivations behind the robbery are revealed, and his standoff with law enforcement moves toward its inevitable end.","Framed by great work from director Sidney Lumet and fueled by a gripping performance from Al Pacino, Dog Day Afternoon offers a finely detailed snapshot of people in crisis with tension-soaked drama shaded in black humor.",R,Sidney Lumet,"Frank Pierson, P.F. Kluge",Al Pacino, John Cazale, Charles Durning,27658,39675,Warner Bros. Pictures,Certified-Fresh,96,45,Upright,90,110209,8,43,2,25ec6295-c9bc-4535-8b76-c4c4b6932b27
Nashville,1975,Robert Altman,Nominee,0,1975,160,Comedy,Drama,Music,7.7,25084,"In this acclaimed Robert Altman drama, the lives of numerous people in the Tennessee capital intersect in unpredictable ways. Delbert Reese (Ned Beatty) is a lawyer and political organizer who is having difficulties in his marriage to Linnea (Lily Tomlin), a gospel vocalist. Other performers heavily featured in this renowned ensemble production include country singers Barbara Jean (Ronee Blakley) and Connie White (Karen Black), who are rivals in the city's thriving music scene.","Robert Altman captures the bravado and cynicism of the American dream in Nashville, a sprawling epic bursting with vivid performances and an unforgettable soundtrack.",R,Robert Altman,Joan Tewkesbury,Henry Gibson, Lily Tomlin, Ned Beatty,27556,42592,Paramount Pictures,Certified-Fresh,90,62,Upright,84,10086,14,56,6,2db901c8-7162-466f-a4d6-22aba1a726bf
Barry Lyndon,1975,Stanley Kubrick,Nominee,0,1975,185,Adventure,Drama,History,8.1,157491,How does an Irish lad without prospects become part of 18th-century English nobility? For Barry Lyndon (Ryan O'Neal) the answer is: any way he can! His climb to wealth and privilege is the enthralling focus of this sumptuous Stanley Kubrick version of William Makepeace Thackeray's novel.,"Cynical, ironic, and suffused with seductive natural lighting, Barry Lyndon is a complex character piece of a hapless man doomed by Georgian society.",PG,Stanley Kubrick,Stanley Kubrick,Ryan O'Neal, Marisa Berenson, Patrick Magee,27395,39447,Warner Bros. Pictures,Certified-Fresh,91,74,Upright,92,45079,16,67,7,96bd883e-8ef5-4ad1-999f-2892326d1548
One Flew Over the Cuckoo's Nest,1975,Michael Douglas and Saul Zaentz,Winner,1,1975,133,Drama,NG,NG,8.7,950833,"When Randle Patrick McMurphy (Jack Nicholson) gets transferred for evaluation from a prison farm to a mental institution, he assumes it will be a less restrictive environment. But the martinet Nurse Ratched (Louise Fletcher) runs the psychiatric ward with an iron fist, keeping her patients cowed through abuse, medication and sessions of electroconvulsive therapy. The battle of wills between the rebellious McMurphy and the inflexible Ratched soon affects all the ward's patients.",The onscreen battle between Jack Nicholson and Louise Fletcher serves as a personal microcosm of the culture wars of the 1970s -- and testament to the director's vision that the film retains its power more than three decades later.,R,Milos Forman,"Bo Goldman, Lawrence Hauben",Jack Nicholson, Louise Fletcher, William Redfield,27717,42704,United Artists,Certified-Fresh,94,80,Upright,96,279760,14,75,5,93bd4453-5aa2-48b8-b2a6-c3f564fda13c
Jaws,1975,Richard D. Zanuck and David Brown,Nominee,0,1975,124,Adventure,Thriller,NG,8,563056,"When a young woman is killed by a shark while skinny-dipping near the New England tourist town of Amity Island, police chief Martin Brody (Roy Scheider) wants to close the beaches, but mayor Larry Vaughn (Murray Hamilton) overrules him, fearing that the loss of tourist revenue will cripple the town. Ichthyologist Matt Hooper (Richard Dreyfuss) and grizzled ship captain Quint (Robert Shaw) offer to help Brody capture the killer beast, and the trio engage in an epic battle of man vs. nature.","Compelling, well-crafted storytelling and a judicious sense of terror ensure Steven Spielberg's Jaws has remained a benchmark in the art of delivering modern blockbuster thrills.",PG,Steven Spielberg,"Howard Sackler, Carl Gottlieb, Peter Benchley",Roy Scheider, Robert Shaw, Richard Dreyfuss,27546,42207,Universal Pictures,Certified-Fresh,98,88,Upright,90,944601,21,86,2,49107a35-a34e-44c0-8324-843c7535719f
Bound for Glory,1976,Robert F. Blumofe and Harold Leventhal,Nominee,0,1976,147,Biography,Drama,Music,7.3,4892,,,PG,Hal Ashby,,David Carraqdine, Ronny Cox, Melinda Dillon,,,United Artists,,83,23,,100,1000,4,19,4,7ac51fff-7c08-48bb-8711-09a28224a21a
All the President's Men,1976,Walter Coblenz,Nominee,0,1976,138,Biography,Drama,History,8,109033,"Two green reporters and rivals working for the Washington Post, Bob Woodward (Robert Redford) and Carl Bernstein (Dustin Hoffman), research the botched 1972 burglary of the Democratic Party Headquarters at the Watergate apartment complex. With the help of a mysterious source, code-named Deep Throat (Hal Holbrook), the two reporters make a connection between the burglars and a White House staffer. Despite dire warnings about their safety, the duo follows the money all the way to the top.","A taut, solidly acted paean to the benefits of a free press and the dangers of unchecked power, made all the more effective by its origins in real-life events.",PG,Alan J. Pakula,William Goldman,Robert Redford, Dustin Hoffman, Jason Robards,27854,41844,Warner Home Video,Certified-Fresh,94,63,Upright,92,50300,9,59,4,048b181b-f1c1-4e3e-bb57-008c90e68339
Rocky,1976,Irwin Winkler and Robert Chartoff,Winner,1,1976,120,Drama,Sport,NG,8.1,537813,"Rocky Balboa (Sylvester Stallone), a small-time boxer from working-class Philadelphia, is arbitrarily chosen to take on the reigning world heavyweight champion, Apollo Creed (Carl Weathers), when the undefeated fighter's scheduled opponent is injured. While training with feisty former bantamweight contender Mickey Goldmill (Burgess Meredith), Rocky tentatively begins a relationship with Adrian (Talia Shire), the wallflower sister of his meat-packer pal Paulie (Burt Young).","This story of a down-on-his-luck boxer is thoroughly predictable, but Sylvester Stallone's script and stunning performance in the title role brush aside complaints.",PG,John G. Avildsen,Sylvester Stallone,Sylvester Stallone, Talia Shire, Burt Young,28085,42308,United Artists,Certified-Fresh,94,65,Upright,69,33403994,11,61,4,9cc026b8-3a23-4db9-a703-c2353be1ee4d
Network,1976,Howard Gottfried,Nominee,0,1976,121,Drama,NG,NG,8.1,151780,"In this lauded satire, veteran news anchorman Howard Beale (Peter Finch) discovers that he's being put out to pasture, and he's none too happy about it. After threatening to shoot himself on live television, instead he launches into an angry televised rant, which turns out to be a huge ratings boost for the UBS network. This stunt allows ambitious producer Diana Christensen (Faye Dunaway) to develop even more outrageous programming, a concept that she takes to unsettling extremes.","Driven by populist fury and elevated by strong direction, powerful acting, and an intelligent script, Network's searing satire of ratings-driven news remains sadly relevant more than four decades later.",R,Sidney Lumet,Paddy Chayefsky,Peter Finch, Faye Dunaway, William Holden,28091,39448,MGM,Certified-Fresh,91,68,Upright,93,36359,11,62,6,09e7097f-0026-4147-9f4d-a17b04a57690
Taxi Driver,1976,Michael Phillips and Julia Phillips,Nominee,0,1976,114,Crime,Drama,NG,8.2,758393,"Suffering from insomnia, disturbed loner Travis Bickle (Robert De Niro) takes a job as a New York City cabbie, haunting the streets nightly, growing increasingly detached from reality as he dreams of cleaning up the filthy city. When Travis meets pretty campaign worker Betsy (Cybill Shepherd), he becomes obsessed with the idea of saving the world, first plotting to assassinate a presidential candidate, then directing his attentions toward rescuing 12-year-old prostitute Iris (Jodie Foster).","A must-see film for movie lovers, this Martin Scorsese masterpiece is as hard-hitting as it is compelling, with Robert De Niro at his best.",R,Martin Scorsese,Paul Schrader,Robert De Niro, Jodie Foster, Cybill Shepherd,27798,41614,Columbia Pictures,Certified-Fresh,96,92,Upright,93,260593,19,88,4,5fca34f6-fdf8-4e6f-a845-ba51eed1fc2e
The Goodbye Girl,1977,Ray Stark,Nominee,0,1977,111,Comedy,Drama,Romance,7.4,13292,"Former Broadway hoofer Paula McFadden (Marsha Mason) and her young daughter, Lucy (Quinn Cummings), are outraged to find that Paula's former lover has fled to Europe and subleased their apartment to hyper Chicago actor Elliot Garfield (Richard Dreyfuss). Neither Marsha nor Elliot is prepared to acknowledge the other's right to the apartment, but they reluctantly agree to share it. Despite their opposite natures and constant bickering, when Elliot's play fails, Marsha is surprisingly affected.",,PG,Herbert Ross,Neil Simon,Richard Dreyfuss, Marsha Mason, Quinn Cummings,28459,42565,MGM,Fresh,84,19,Upright,84,7479,1,16,3,e437045d-d8e6-466b-98f5-bf81d91883eb
The Turning Point,1977,Herbert Ross and Arthur Laurents,Nominee,0,1977,119,Drama,Romance,NG,6.9,4457,,,PG,Herbert Ross,,Shriley MacLaine, Anne Bancroft, Mikhail Baryshnikov,,,Hera Productions,,63,27,,67,2500,6,17,10,b43cfa51-76a9-4f3a-a5f2-baacb12be7b4
Julia,1977,Richard Roth,Nominee,0,1977,117,Drama,NG,NG,7.2,9219,,,PG,Fred Zinnemann,,Jane Fonda, Vanessa Redgrave, Jason Robards,,,20th Century Fox,,74,31,,70,2500,6,23,8,c982281e-2dfa-4de4-afb2-9bb7ad5300dc
Annie Hall,1977,Charles H. Joffe,Winner,1,1977,93,Comedy,Romance,NG,8,257550,"Comedian Alvy Singer (Woody Allen) examines the rise and fall of his relationship with struggling nightclub singer Annie Hall (Diane Keaton). Speaking directly to the audience in front of a bare background, Singer reflects briefly on his childhood and his early adult years before settling in to tell the story of how he and Annie met, fell in love, and struggled with the obstacles of modern romance, mixing surreal fantasy sequences with small moments of emotional drama.","Filled with poignant performances and devastating humor, Annie Hall represents a quantum leap for Woody Allen and remains an American classic.",PG,Woody Allen,"Woody Allen, Marshall Brickman",Woody Allen, Diane Keaton, Tony Roberts,28235,42250,United Artists,Certified-Fresh,98,82,Upright,92,153745,18,80,2,50965bec-a059-4941-954a-07fddfa5a5e5
Star Wars A New Hope,1977,Gary Kurtz,Nominee,0,1977,121,Action,Adventure,Fantasy,8.6,1272908,,,PG,George Lucas,,Mark Hamill, Harrison Ford, Carrie Fisher,,,20th Century Fox,,92,133,,96,250000,50,123,10,b03dfef6-a70b-43ef-bdf3-011c42307248
